,page,sentence
0,1,FLAVOUR GROUPS Sweet Warming Phenols .............................................. 80 
1,1,RECIPES Chinese Steamed Salmon with Chilli and Star Anise ......... 92 
2,1,Warming Terpenes .................................................... 102 
3,1,Chicken and Aubergine Biryani with Seven-Spice .......... 104 
4,1,Fragrant Terpenes ..................................................... 116 
5,1,"Ejjeh with Courgette, Feta, and Dill and "
6,1,Earthy Terpenes ........................................................ 126 
7,1,Black Lime Harissa ................................................ 112 
8,1,Penetrating Terpenes ................................................ 130 
9,1,West African Peanut Curry with Durban Masala ............. 124 
10,1,Citrus Terpenes ........................................................ 142 
11,1,Asian Larb Salad with Curried Duck and Khao Kua......... 140 
12,1,Sweet-Sour Acids ..................................................... 148 
13,1,Date and Tamarind Granita with 
14,1,Fruity Aldehydes ....................................................... 160 
15,1,Caramelized Pineapple  .......................................... 156 
16,1,Toasty Pyrazines ....................................................... 164 
17,1,"Black Sesame, Liquorice, and Cardamom Ice Cream ...... 170 "
18,1,Sulphurous Compounds ............................................. 172 
19,1,Sweet and Spicy Apple Pastry Rosettes ........................ 182 
20,1,Pungent Compounds ................................................. 180 
21,1,Spiced Scallops with Saffron Beurre Blanc ................... 196 
22,1,Unique Compounds ................................................... 194 
23,1,Spiced Filipino Adobo with Chicken and Pork ................ 208 
24,1,078-079_spice-profiles-opener.indd   78 
25,1,04/06/2018   15:47 
26,2,SPICE | profiles 
27,2,"Discover all you need to know about the worldÅfs top spices with in-depth science and practical advice, and begin your culinary adventure with innovative recipes. "
28,2,078-079_spice-profiles-opener.indd   79 
29,2,04/06/2018   15:47 
30,3,80 
31,3,Spice Profiles 
32,3,CINN AM ON Sweet | Aromatic | Warm 
33,3,BOTANICAL NAME Cinnamomum verum 
34,3,"ALSO KNOWN AS Ceylon cinnamon, ÅgtrueÅh cinnamon. "
35,3,"METHOD OF CULTIVATION Trees are coppiced at 1824 months of age and the stump covered, causing it to grow like a bush. New shoots are removed at the base and stripped for their bark. "
36,3,MAJOR FLAVOUR COMPOUND Cinnamaldehyde. 
37,3,PARTS USED Dried bark of tender shoots. 
38,3,"COMMERCIAL PREPARATION Inner layers of bark are dried in the sun and rolled together by hand into long ÅgquillsÅh, which are graded and cut. "
39,3,NON-CULINARY USES In perfumery and as a natural antiseptic. 
40,3,"The plant Cinnamon is a small evergreen tree in the laurel family, found in the wild growing in wet tropical forests. "
41,3,Young shoots are harvested for their bark every two years 
42,3,"Powder Ground spice quickly loses its flavour. Buy it in small quantities, keep in an airtight container in a cool, dark place, and use within 6 months. "
43,3,"Whole Cinnamon sticks will keep their flavour for up to a year. Lighter brown, thinner, more fragile sticks are higher quality. "
44,3,Spice story 
45,3,"From 1600 BCE, ancient Egyptians used a type of cinnamon for incense and as an embalming spice, importing it from Asia via African traders. It is not known for certain whether this was cinnamon from Sri Lanka or Chinese cassia. From the 8th century CE, Arab merchants dominated the trade and invented tall tales to protect their sources and high prices. In one such myth, giant birds were said to gather the bark from an unknown land, using it to make nests on high cliffs, and the only way to collect it was to lure the birds away with large pieces of meat. The real source remained a mystery to Europeans until the Portuguese found cinnamon trees growing in Sri Lanka in the early 1500s, and promptly occupied the island. They in turn were ousted by the Dutch, who then fought the British for centuries over control of the territory and lucrative trade. "
46,3,MYANMAR 
47,3,VIETNAM 
48,3,SRI LANKA 
49,3,INDONESIA 
50,3,"Region of cultivation Cinnamon is native to the island of Sri Lanka and is now also notably cultivated in Myanmar, Vietnam, Indonesia, and the islands of the Seychelles off the coast of East Africa. "
51,3,080-081_Cinnamon.indd   80 
52,3,04/06/2018   15:47 
53,4,Flavour Group | SWEET WARMING PHENOLS | Cinnamon 
54,4,81 
55,4,Kitchen creativity 
56,4,"Cinnamon does not in itself taste sweet, but rather it enhances the perception of sweetness in other ingredients. This makes it perfect for sweet bakes and desserts, and for drawing out sweet notes in savoury dishes. "
57,4,BL EN DI NG SCIE NCE 
58,4,"Cinnamaldehyde is the main flavour compound and is sensed by temperature receptors on the tongue, giving cinnamon a warming quality that makes it a good partner for other warming spices. Make further connections through the woodiness of caryophyllene, the penetrating aroma of eugenol, and the floral notes of linalool. "
59,4,CINNAMON 
60,4,Ci 
61,4,CARYOPHYLLENE spicy  |  woody  |  dry 
62,4,enhance woody notes with caryophyllenes: 
63,4,"allspice shares eugenol, for warming spiciness "
64,4,peppercorn adds pungent heat from piperine 
65,4,CINNAMALDEHYDE warming  |  spicy  | pungent 
66,4,LINALOOL floral  |  woody  | spicy 
67,4,add depth with an earthier warming compound: 
68,4,cumin contributes the equally warming and tenacious cuminaldehyde 
69,4,draw out the floral notes with another linalool: 
70,4,"cardamom brings complex citrus, floral, and penetrating eucalyptus aromas "
71,4,EUGENOL medicinal  | woody  |  warming 
72,4,"pair with other eugenols for clean, penetrating aromas: "
73,4,clove also shares 
74,4,caryophyllene and should be used sparingly 
75,4,anise and star anise will enhance the sweetening effect of cinnamon and add liquorice notes 
76,4,RE LE ASE THE FLAVOUR 
77,4,FOOD PARTNERS 
78,4,Fruit Mix cinnamon powder with 
79,4,"sugar and scatter over peaches, figs, apples, and pears before baking or grilling, or add to the batter for a plum or cherry clafoutis. "
80,4,"Sweet bakes Use ground cinnamon to flavour Nordic buns, Italian panforte, or French pain dÅfpices. "
81,4,Tomatoes and aubergines A cinnamon-infused tomato sauce makes an excellent topping for baked aubergines. 
82,4,"Red meats Add a stick or two to a lamb tagine, an Iranian khorak beef stew, or the stock of a fragrant Vietnamese beef pho noodle soup. "
83,4,Pigeon Cinnamon is the main flavouring in Moroccan pastilla pigeon pie with filo pastry. 
84,4,BLENDS TO TRY 
85,4,Use and adapt these recipes for classic blends featuring cinnamon: Advieh  p27 Burmese garam masala  p48 Jamaican jerk rub  p64 Mole mix  p65 Mulling spice  p73 
86,4,"The taste components in cinnamon need time to escape from its woody matrix, and the critical flavour compound, cinnamaldehyde, does not dissolve in water. "
87,4,Add early in cooking to give flavours time to suffuse the dish. 
88,4,Fat and alcohol will help disperse cinnamaldehyde. 
89,4,"Steam is also a carrier of cinnamaldehyde, so boil vigorously with a lid on the pan. "
90,4,080-081_Cinnamon.indd   81 
91,4,04/06/2018   15:47 
92,5,82 
93,5,Spice Profiles 
94,5,CASSIA Sweet | Peppery | Astringent 
95,5,"BOTANICAL NAME Cinnamomum cassia, C. loureirii, C. burmanii "
96,5,"ALSO KNOWN AS Chinese cinnamon (C. cassia), Vietnamese/ Saigon cinnamon (C. loureirii), Indonesian/ Java/Korintje cinnamon (C. burmanii). "
97,5,MAJOR FLAVOUR COMPOUND Cinnamaldehyde. 
98,5,"PARTS USED Dried bark, unripe fruits (ÅgbudsÅh). "
99,5,METHOD OF CULTIVATION The bark is harvested every second year in the monsoon season from trees that are at least four years old. 
100,5,"COMMERCIAL PREPARATION Strips of inner bark are dried in the sun and curl up naturally, forming thick shards; buds are dried. "
101,5,NON-CULINARY USES In perfumes; in Chinese medicine to treat diarrhoea and dyspepsia. 
102,5,"The plant Cassia comes from an evergreen tree in the laurel family, and is closely related to cinnamon. "
103,5,"Leaves and buds are also aromatic, unlike ÅgtrueÅh cinnamon "
104,5,Buds The dried unripe fruits resemble cloves and are used in the Far East as a pickling spice. 
105,5,"Bark The bark is darker, thicker, more loosely coiled, and harder to snap than that of cinnamon. It carries a stronger aroma and more intense flavour. "
106,5,Bark is coarse and greyish brown 
107,5,Spice story 
